0	1	0	1082008561
2	3	0	1082123439
4	1	0	1082381991
5	6	0	1082407219
7	6	0	1082407356
8	9	0	1082408003
8	10	0	1082408053
11	12	0	1082408788
8	13	0	1082409354
8	14	0	1082409424
8	15	0	1082409495
8	16	0	1082409753
8	13	0	1082409928
8	17	0	1082410160
18	17	0	1082410623
19	20	0	1082412544
18	21	0	1082417674
7	22	0	1082417843
8	23	0	1082418245
8	21	0	1082418256
24	20	0	1082434689
25	6	0	1082448725
26	27	0	1082457840
28	24	0	1082471683
29	30	0	1082485106
29	30	0	1082485111
29	30	0	1082485113
29	30	0	1082485116
31	32	0	1082485623
33	34	0	1082493130
33	32	0	1082493318
35	36	0	1082498549
37	38	0	1082506449
35	39	0	1082507157
40	14	0	1082507905
40	10	0	1082507954
40	13	0	1082508062
40	12	0	1082508096
40	38	0	1082509042
40	41	0	1082541811
40	42	0	1082543944
8	39	0	1082551300
43	44	0	1082553068
45	21	0	1082555305
43	45	0	1082555822
46	45	0	1082556108
47	45	0	1082557083
8	48	0	1082564155
35	49	0	1082565315
43	50	0	1082565351
31	51	0	1082565656
35	31	0	1082565722
52	53	0	1082565995
35	54	0	1082566145
55	56	0	1082566148
35	31	0	1082566285
35	57	0	1082566365
43	58	0	1082566520
50	57	0	1082566534
43	13	0	1082566672
35	55	0	1082566976
35	59	0	1082567317
55	60	0	1082567668
61	49	0	1082568009
35	59	0	1082568387
31	58	0	1082569055
35	59	0	1082569472
35	49	0	1082569513
40	62	0	1082570219
40	63	0	1082570268
40	64	0	1082570282
40	55	0	1082570300
40	60	0	1082570361
40	42	0	1082570378
40	51	0	1082570407
40	57	0	1082570438
40	58	0	1082570668
8	63	0	1082570724
8	57	0	1082570779
11	65	0	1082570819
31	57	0	1082570866
11	65	0	1082570868
66	31	0	1082571114
40	31	0	1082571171
66	31	0	1082571249
31	67	0	1082571281
67	55	0	1082571450
66	31	0	1082571468
66	31	0	1082571599
67	60	0	1082571618
66	31	0	1082571679
66	7	0	1082572296
68	66	0	1082572990
69	50	0	1082574767
43	49	0	1082574889
66	31	0	1082575954
70	57	0	1082576005
70	71	0	1082576081
50	57	0	1082576109
71	70	0	1082576849
72	73	0	1082577249
73	72	0	1082577319
72	73	0	1082577513
73	72	0	1082577572
33	57	0	1082577714
43	74	0	1082577717
43	74	0	1082577841
8	57	0	1082577894
72	73	0	1082577932
8	75	0	1082577939
31	76	0	1082578926
40	75	0	1082579706
40	77	0	1082579722
78	47	0	1082580094
78	62	0	1082580135
40	79	0	1082580218
78	57	0	1082580264
40	80	0	1082580272
78	69	0	1082580547
18	81	0	1082580971
18	71	0	1082581044
11	31	0	1082581066
18	63	0	1082581510
18	57	0	1082581630
18	57	0	1082581635
18	57	0	1082581637
18	51	0	1082581988
82	58	0	1082582060
50	69	0	1082582077
37	57	0	1082582431
40	57	0	1082583643
62	78	0	1082583685
40	62	0	1082583693
66	58	0	1082583959
40	62	0	1082584335
40	57	0	1082584702
43	83	0	1082585266
18	84	0	1082585806
18	71	0	1082585894
2	83	0	1082586642
18	7	0	1082586796
18	57	0	1082586871
83	85	0	1082587433
82	57	0	1082587603
35	59	0	1082587632
85	47	0	1082587831
86	62	0	1082588109
35	87	0	1082588289
86	7	0	1082588550
35	88	0	1082588983
89	55	0	1082589002
35	89	0	1082589059
35	83	0	1082589118
90	91	0	1082589175
35	92	0	1082589360
90	91	0	1082589425
35	89	0	1082589441
90	91	0	1082589581
35	59	0	1082589801
35	83	0	1082590292
50	57	0	1082590412
93	83	0	1082590504
35	83	0	1082590870
93	83	0	1082590889
93	83	0	1082591264
68	83	0	1082591364
68	94	0	1082591395
86	7	0	1082591660
2	83	0	1082592049
2	83	0	1082592296
47	85	0	1082592817
83	7	0	1082593887
90	80	0	1082594822
95	87	0	1082594995
7	83	0	1082595973
83	7	0	1082596890
90	46	0	1082597173
96	97	0	1082597822
97	96	0	1082597976
96	97	0	1082598011
47	96	0	1082598120
98	7	0	1082598432
98	7	0	1082598446
96	47	0	1082598576
99	100	0	1082598793
101	96	0	1082598889
96	47	0	1082599200
96	101	0	1082599211
100	99	0	1082599573
47	57	0	1082599634
